product_id,color_name,Art. No.,Fit,More sustainable materials,color_id,product_price,product_name,style_id,product_category,scrapy_datetime,size_model,size_number,cotton,polyester,spandex,elasterell
0875105015,light_denim_blue,0875105015,relaxed_fit,Recycled cotton 20%,015,22.99,relaxed_jeans,0875105,men_jeans_relaxed,2022-01-03 15:43:29,,,1.0,,,
1008549006,black,1008549006,regular_fit,Recycled cotton 20%,006,24.99,regular_jeans,1008549,men_jeans_regular,2022-01-03 15:43:29,31/30,188,1.0,,,
1013317001,light_denim_blue,1013317001,regular_fit,Recycled cotton 20%,001,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,,0.77,0.21,0.02,
1013317002,denim_blue,1013317002,regular_fit,Recycled cotton 19%,002,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,,0.78,0.21,0.01,
1013317004,black,1013317004,regular_fit,Recycled cotton 20%,004,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,,0.78,0.21,0.01,
1013317005,dark_gray,1013317005,regular_fit,Recycled polyester 19%,005,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,188,0.79,0.19,0.02,
1013317008,dark_blue,1013317008,regular_fit,,008,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,182,0.77,0.21,0.02,
1013317006,black,1013317006,regular_fit,,006,39.99,hybrid_regular_tapered_joggers,1013317,men_jeans_regular,2022-01-03 15:43:29,,187,0.79,0.2,0.01,
0974202001,light_denim_blue,0974202001,regular_fit,Recycled cotton 20%,001,17.99,regular_denim_joggers,0974202,men_jeans_loose,2022-01-03 15:43:29,,,1.0,,,
0974202002,denim_blue,0974202002,regular_fit,Recycled cotton 20%,002,29.99,regular_denim_joggers,0974202,men_jeans_loose,2022-01-03 15:43:29,,,1.0,,,
0974202003,black,0974202003,regular_fit,Recycled cotton 20%,003,29.99,regular_denim_joggers,0974202,men_jeans_loose,2022-01-03 15:43:29,,187,1.0,,,
1004199001,light_denim_blue,1004199001,skinny_fit,Recycled cotton 20%,001,29.99,skinny_cropped_jeans,1004199,men_jeans_skinny,2022-01-03 15:43:29,,,0.99,,0.01,
1004199002,black,1004199002,skinny_fit,Recycled cotton 20%,002,29.99,skinny_cropped_jeans,1004199,men_jeans_skinny,2022-01-03 15:43:29,,187,0.99,,0.01,
0427159001,black_denim,0427159001,skinny_fit,,001,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.91,0.07,0.02,
0427159002,blue_washed_out,0427159002,skinny_fit,,002,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159003,denim_blue,0427159003,skinny_fit,,003,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159004,light_denim_blue,0427159004,skinny_fit,,004,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.99,,0.01,
0427159005,dark_denim_blue,0427159005,skinny_fit,,005,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.72,0.2,0.07,
0427159007,black_washed_out,0427159007,skinny_fit,,007,18.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.91,0.07,0.02,
0427159008,denim_blue,0427159008,skinny_fit,,008,18.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.98,,0.02,
0427159010,white_denim,0427159010,skinny_fit,,010,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.99,,0.01,
0427159011,light_blue_washed_out,0427159011,skinny_fit,,011,24.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159017,super_light_denim_blue,0427159017,skinny_fit,,017,24.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,1.0,,,
0427159022,black/trashed,0427159022,skinny_fit,,022,9.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159023,light_denim_blue,0427159023,skinny_fit,,023,21.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159025,denim_blue/bleached,0427159025,skinny_fit,,025,14.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159027,black/bleached,0427159027,skinny_fit,,027,19.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,,,0.93,0.06,0.01,
0427159006,light_denim_blue,0427159006,skinny_fit,,006,39.99,trashed_skinny_jeans,0427159,men_jeans_ripped,2022-01-03 15:43:29,31/32,184,0.93,0.06,0.01,
