product_id,color_name,Art. No.,Fit,More sustainable materials,color_id,product_price,product_name,style_id,product_category,scrapy_datetime,size_model,size_number,cotton,polyester,spandex,elasterell
0690449001,light_denim_blue/trashed,0690449001,skinny_fit,,001,16.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.99,,0.01,
0690449002,denim_blue,0690449002,skinny_fit,,002,14.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449006,black/washed,0690449006,skinny_fit,,006,7.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449007,light_denim_blue,0690449007,skinny_fit,,007,14.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449009,black_washed_out,0690449009,skinny_fit,,009,19.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.99,,0.01,
0690449011,white,0690449011,skinny_fit,,011,19.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.99,,0.01,
0690449013,black/washed,0690449013,skinny_fit,,013,27.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449021,dark_denim_blue/trashed,0690449021,skinny_fit,,021,25.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449022,black/trashed,0690449022,skinny_fit,,022,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,32/32,187,0.98,,0.02,
0690449024,dark_blue/trashed,0690449024,skinny_fit,,024,20.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449028,dark_blue/washed_out,0690449028,skinny_fit,,028,19.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449035,denim_blue/trashed,0690449035,skinny_fit,,035,21.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449036,black,0690449036,skinny_fit,,036,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,31/30,188,0.98,,0.02,
0690449040,denim_gray,0690449040,skinny_fit,,040,29.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449043,light_denim_blue/trashed,0690449043,skinny_fit,,043,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,32/32,187,0.98,,0.02,
0690449046,light_denim_gray/trashed,0690449046,skinny_fit,,046,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449051,gray,0690449051,skinny_fit,Recycled cotton 20%,051,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
0690449056,light_denim_blue,0690449056,skinny_fit,,056,39.99,skinny_jeans,0690449,men_jeans_ripped,2021-12-28 20:58:06,,,0.98,,0.02,
1008549006,black,1008549006,regular_fit,Recycled cotton 20%,006,19.99,regular_jeans,1008549,men_jeans_regular,2021-12-28 20:58:06,31/30,188,1.0,,,
0875105001,denim_blue,0875105001,relaxed_fit,Recycled cotton 20%,001,22.99,relaxed_jeans,0875105,men_jeans_relaxed,2021-12-28 20:58:06,,,1.0,,,
0875105002,black,0875105002,relaxed_fit,Recycled cotton 20%,002,29.99,relaxed_jeans,0875105,men_jeans_relaxed,2021-12-28 20:58:06,32/32,187,1.0,,,
0875105003,light_denim_blue,0875105003,relaxed_fit,Recycled cotton 20%,003,29.99,relaxed_jeans,0875105,men_jeans_relaxed,2021-12-28 20:58:06,31/32,187,1.0,,,
0875105015,light_denim_blue,0875105015,relaxed_fit,Recycled cotton 20%,015,22.99,relaxed_jeans,0875105,men_jeans_relaxed,2021-12-28 20:58:06,,,1.0,,,
1004199002,black,1004199002,skinny_fit,Recycled cotton 20%,002,29.99,skinny_cropped_jeans,1004199,men_jeans_skinny,2021-12-28 20:58:06,,187,0.99,,0.01,
1004199001,light_denim_blue,1004199001,skinny_fit,Recycled cotton 20%,001,29.99,skinny_cropped_jeans,1004199,men_jeans_skinny,2021-12-28 20:58:06,,,0.99,,0.01,
0751994001,dark_gray,0751994001,slim_fit,,001,11.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.99,,0.01,
0751994003,light_denim_blue,0751994003,slim_fit,,003,13.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994004,dark_denim_blue,0751994004,slim_fit,,004,16.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994005,dark_blue,0751994005,slim_fit,,005,20.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994006,denim_blue,0751994006,slim_fit,,006,14.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994007,black/washed_out,0751994007,slim_fit,,007,22.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994009,dark_blue_denim,0751994009,slim_fit,,009,17.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994010,dark_gray,0751994010,slim_fit,,010,29.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994014,light_gray,0751994014,slim_fit,,014,17.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
0751994016,dark_blue,0751994016,slim_fit,,016,15.99,slim_jeans,0751994,men_jeans_slim,2021-12-28 20:58:06,,,0.98,,0.02,
